frame,track_id,class_name,confidence,x1,y1,x2,y2,pixel_speed_px_per_frame
28,1,bus,0.9284,1466,204,1803,751,2.236
28,2,car,0.6254,457,159,531,250,0.75
28,3,car,0.7108,490,133,551,178,0.25
28,6,car,0.449,630,123,708,187,0.5
28,7,bus,0.7323,390,98,477,178,0.354
28,9,bus,0.7445,289,105,396,215,1.768
28,5,bus,0.7821,1,413,478,1063,2.062
28,4,bus,0.2747,1081,27,1171,141,0.286
29,1,bus,0.9234,1467,205,1804,753,2.236
29,2,car,0.653,456,160,530,251,0.354
29,3,car,0.7276,490,133,551,177,0.0
29,6,car,0.4351,630,123,708,187,0.5
29,7,bus,0.7521,389,98,476,179,0.5
29,9,bus,0.6453,287,105,394,214,1.768
29,5,bus,0.8517,1,410,480,1063,1.904
29,4,bus,0.2753,1081,27,1171,141,0.226
29,21,person,0.361,1462,193,1492,268,0.0
30,1,bus,0.916,1467,206,1805,756,2.136
30,2,car,0.6515,457,160,531,251,0.25
30,3,car,0.7294,490,133,551,177,0.0
30,6,car,0.4266,630,123,709,187,0.25
30,7,bus,0.7771,389,98,477,179,0.354
30,9,bus,0.6092,285,105,393,215,1.5
30,5,bus,0.8509,0,406,481,1063,2.062
30,4,bus,0.3777,1081,27,1171,141,0.25
30,21,person,0.3414,1462,193,1492,268,0.0
31,1,bus,0.9255,1468,207,1806,759,1.904
31,2,car,0.6474,456,160,530,251,0.25
31,3,car,0.7301,490,133,551,178,0.0
31,6,car,0.4399,630,123,708,187,0.25
31,7,bus,0.7531,388,98,477,180,0.25
31,9,bus,0.6469,283,103,392,213,1.581
31,5,bus,0.5295,0,403,486,1066,2.016
31,4,bus,0.3382,1081,27,1170,141,0.354
31,21,person,0.3417,1461,193,1491,269,0.707
32,1,bus,0.9226,1470,208,1808,761,2.151
32,2,car,0.6424,457,160,531,250,0.25
32,3,car,0.7376,490,133,552,178,0.25
32,6,car,0.4274,629,123,707,187,0.25
32,7,bus,0.7101,388,98,477,181,0.354
32,9,bus,0.6048,282,104,390,213,1.581
32,5,bus,0.7125,0,400,486,1063,2.016
32,21,person,0.3804,1461,193,1492,270,0.471
33,1,bus,0.9148,1471,209,1810,766,2.358
33,2,car,0.6602,458,161,531,250,0.25
33,3,car,0.7462,490,133,552,178,0.25
33,6,car,0.3932,629,123,707,187,0.25
33,7,bus,0.6614,388,97,477,179,0.0
33,9,bus,0.602,281,103,390,213,1.275
